participant_id,raw,comp,delta,raw_label,comp_label,changed_label,seq_pct_changed,seq_changed_n,seq_total_n
l42_2070,0.2222222222222222,0.2222222222222222,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l59_547,0.37037037037037035,0.37037037037037035,0.0,"('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')","('answer_1(left)', 'answer_0(top)', 'answer_2(right)', 'answer_3(bottom)')",False,0.018518518518518517,1,54
l39_542,0.2777777777777778,0.2777777777777778,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l56_522,0.37037037037037035,0.37037037037037035,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l49_529,0.5925925925925926,0.5925925925925926,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l9_536,0.7777777777777778,0.7962962962962963,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l57_439,0.6111111111111112,0.6111111111111112,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l53_431,0.5185185185185185,0.5185185185185185,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l45_452,0.5185185185185185,0.5370370370370371,0.0185185185185186,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l46_453,0.5740740740740741,0.5740740740740741,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l34_447,0.42592592592592593,0.4444444444444444,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l44_412,0.4444444444444444,0.5370370370370371,0.09259259259259267,"('answer_0(top)', 'answer_1(left)', 'answer_2(right)', 'answer_3(bottom)')","('answer_0(top)', 'answer_1(left)', 'answer_2(right)', 'answer_3(bottom)')",False,0.18518518518518517,10,54
l40_405,0.37037037037037035,0.37037037037037035,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.018518518518518517,1,54
l41_451,0.4444444444444444,0.4444444444444444,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.0,0,54
l58_441,0.2777777777777778,0.2777777777777778,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.0,0,54
l37_395,0.6666666666666666,0.6851851851851852,0.0185185185185186,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l36_394,0.7962962962962963,0.7962962962962963,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l54_461,0.35185185185185186,0.35185185185185186,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l55_435,0.46296296296296297,0.46296296296296297,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l48_422,0.7962962962962963,0.7962962962962963,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l47_457,0.4444444444444444,0.4444444444444444,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.037037037037037035,2,54
l50_460,0.8333333333333334,0.8333333333333334,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l60_446,0.6851851851851852,0.6851851851851852,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l35_450,0.6111111111111112,0.6296296296296297,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l51_427,0.35185185185185186,0.37037037037037035,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.09259259259259259,5,54
l52_428,0.42592592592592593,0.5,0.07407407407407407,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.1111111111111111,6,54
l38_396,0.6111111111111112,0.6111111111111112,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l43_411,0.48148148148148145,0.5185185185185185,0.037037037037037035,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
l11_525,0.12962962962962962,0.12962962962962962,0.0,"('answer_3(bottom)', 'answer_0(top)', 'answer_1(left)', 'answer_3(bottom)')","('answer_3(bottom)', 'answer_0(top)', 'answer_1(left)', 'answer_3(bottom)')",False,0.0,0,54
l36_524,0.3333333333333333,0.3333333333333333,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l18_526,0.42592592592592593,0.48148148148148145,0.055555555555555525,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.09259259259259259,5,54
l44_540,0.7037037037037037,0.8148148148148148,0.11111111111111105,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.14814814814814814,8,54
l34_512,0.6296296296296297,0.6296296296296297,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.018518518518518517,1,54
l41_295,0.6851851851851852,0.6851851851851852,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l47_313,0.2037037037037037,0.24074074074074073,0.037037037037037035,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.24074074074074073,13,54
l40_294,0.35185185185185186,0.35185185185185186,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.0,0,54
l22_229,0.2777777777777778,0.2962962962962963,0.01851851851851849,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.018518518518518517,1,54
l37_273,0.5185185185185185,0.5185185185185185,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.05555555555555555,3,54
l3_163,0.24074074074074073,0.24074074074074073,0.0,"('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')","('answer_0(top)', 'answer_1(left)', 'answer_3(bottom)', 'answer_2(right)')",False,0.05555555555555555,3,54
l20_226,0.6481481481481481,0.6481481481481481,0.0,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.0,0,54
l13_206,0.4444444444444444,0.46296296296296297,0.018518518518518545,"('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')","('answer_0(top)', 'answer_2(right)', 'answer_3(bottom)', 'answer_1(left)')",False,0.037037037037037035,2,54
