index,dominance_score
0,0.2222222222222222
1,0.37037037037037035
2,0.2777777777777778
3,0.37037037037037035
4,0.5925925925925926
5,0.7962962962962963
6,0.6111111111111112
7,0.5185185185185185
8,0.5370370370370371
9,0.5740740740740741
10,0.4444444444444444
11,0.5370370370370371
12,0.37037037037037035
13,0.4444444444444444
14,0.2777777777777778
15,0.6851851851851852
16,0.7962962962962963
17,0.35185185185185186
18,0.46296296296296297
19,0.7962962962962963
20,0.4444444444444444
21,0.8333333333333334
22,0.6851851851851852
23,0.6296296296296297
24,0.37037037037037035
25,0.5
26,0.6111111111111112
27,0.5185185185185185
28,0.12962962962962962
29,0.3333333333333333
30,0.48148148148148145
31,0.8148148148148148
32,0.6296296296296297
33,0.6851851851851852
34,0.24074074074074073
35,0.35185185185185186
36,0.2962962962962963
37,0.5185185185185185
38,0.24074074074074073
39,0.6481481481481481
40,0.46296296296296297
41,0.2777777777777778
42,0.5740740740740741
43,0.3333333333333333
44,0.4444444444444444
45,0.37037037037037035
46,0.5925925925925926
47,0.5185185185185185
48,0.8518518518518519
49,0.35185185185185186
50,0.4444444444444444
51,0.5185185185185185
52,0.37037037037037035
53,0.2777777777777778
54,0.42592592592592593
55,0.46296296296296297
56,0.35185185185185186
57,0.7222222222222222
58,0.7037037037037037
59,0.6111111111111112
60,0.5185185185185185
61,0.6481481481481481
62,0.3148148148148148
63,0.46296296296296297
64,0.5555555555555556
65,0.5925925925925926
66,0.46296296296296297
67,0.4074074074074074
68,0.7777777777777778
69,0.6666666666666666
70,0.6296296296296297
71,0.6296296296296297
72,0.5370370370370371
73,0.46296296296296297
74,0.5370370370370371
75,0.5555555555555556
76,0.2962962962962963
77,0.5
78,0.7592592592592593
79,0.7222222222222222
80,0.5370370370370371
81,0.35185185185185186
82,0.7037037037037037
83,0.3333333333333333
84,0.7592592592592593
85,0.3333333333333333
86,0.25925925925925924
87,0.6851851851851852
88,0.4444444444444444
89,0.7962962962962963
90,0.7592592592592593
91,0.6111111111111112
92,0.6296296296296297
93,0.5740740740740741
94,0.6296296296296297
95,0.6296296296296297
96,0.2777777777777778
97,0.4444444444444444
98,0.6481481481481481
99,0.5
100,0.6111111111111112
101,0.4074074074074074
102,0.5
103,0.46296296296296297
104,0.4444444444444444
105,0.4444444444444444
106,0.3148148148148148
107,0.2962962962962963
108,0.4444444444444444
109,0.3888888888888889
110,0.4444444444444444
111,0.25925925925925924
112,0.5740740740740741
113,0.5740740740740741
114,0.42592592592592593
115,0.5925925925925926
116,0.4528301886792453
117,0.7222222222222222
118,0.5555555555555556
119,0.42592592592592593
120,0.8148148148148148
121,0.7407407407407407
122,0.3148148148148148
123,0.2962962962962963
124,0.8888888888888888
125,0.2777777777777778
126,0.4444444444444444
127,0.6666666666666666
128,0.6296296296296297
129,0.7222222222222222
130,0.5370370370370371
131,0.25925925925925924
132,0.7222222222222222
133,0.5
134,0.2777777777777778
135,0.5740740740740741
136,0.25925925925925924
137,0.5740740740740741
138,0.6296296296296297
139,0.3888888888888889
140,0.37037037037037035
141,0.5925925925925926
142,0.3888888888888889
143,0.4074074074074074
144,0.37037037037037035
145,0.6481481481481481
146,0.6296296296296297
147,0.6481481481481481
148,0.4074074074074074
149,0.6851851851851852
150,0.3148148148148148
151,0.8703703703703703
152,0.5
153,0.7222222222222222
154,0.3888888888888889
155,0.5740740740740741
156,0.37037037037037035
157,0.7777777777777778
158,0.3333333333333333
159,0.3333333333333333
160,0.2222222222222222
161,0.37037037037037035
162,0.8148148148148148
163,0.6296296296296297
164,0.5
165,0.5740740740740741
166,0.6111111111111112
167,0.6851851851851852
168,0.2777777777777778
169,0.3333333333333333
170,0.7777777777777778
171,0.42592592592592593
172,0.24074074074074073
173,0.25925925925925924
174,0.6111111111111112
175,0.5185185185185185
176,0.4444444444444444
177,0.8888888888888888
178,0.8333333333333334
179,0.3148148148148148
